階層,品目コード,品名,数量,単位,素材/種別,工程,サプライヤー/調達先,製造拠点,内外区分,単価,備考
0,EG-3000,EnerGrid 産業用ハイブリッド蓄電システム,1,式,,最終組立,,,内製,,完成品
1,EG-ASY-100,蓄電池モジュールAssembly,1,式,,モジュール組立,,,内製,,
2,BAT-CELL-01,角形リチウムイオンセル 3.7V 50Ah,96,個,電子部品,セル実装,㈱グリーンエナジーセル,,購買,4500,NCM811タイプ。代替: CATLセル
2,BAT-BMS-01,バッテリーマネジメントシステム基板,1,個,電子部品,実装,東亜電子,,購買,85000,16セル対応BMS。受注後10週
2,BAT-BUS-01,銅バスバー（セル接続用）,48,個,銅,加工,日本マテリアル,,購買,350,公差±0.1mm。ニッケルメッキ
2,BAT-HSK-01,アルミ放熱プレート,4,個,アルミ,切削加工,日本マテリアルズ,,購買,8500,A5052 t3.0 熱伝導シート貼付済
2,BAT-THS-01,サーミスタ温度センサー NTC 10K,16,個,電子部品,,テクノコネクト㈱,,購買,120,精度±1%
2,BAT-FAN-01,DCファン 80mm 24V,4,個,電子部品,,富士精密,,購買,980,PWM制御対応。IP54
2,BAT-WIR-01,高圧ケーブル 600V 8sq,12,m,,配線,,,内製,内製,450,UL認証品を使用のこと
2,,セル選別・グレーディング工程,1,式,,検査,,,内製,,工程費。LLMは無視してよい
2,,モジュール組立治具費,1,式,,治具,,,内製,内製,0,治具費按分。管理用
1,EG-ASY-200,パワーコンディショナー（PCS）Assembly,1,式,,組立,,,内製,,
2,PCS-INV-01,3相インバーターモジュール 50kW,1,個,電子部品,実装,東亜電子工業株式会社,,購買,320000,SiC MOSFET採用。効率98.5%
2,PCS-TRF-01,絶縁トランス 50kVA,1,個,金属,組立,東亜電子工業,,購買,145000,R相・S相・T相。騒音40dB以下
2,PCS-FLT-01,ACフィルター基板,1,個,電子部品,実装,テクノコネクト,,購買,28000,THD 3%以下
2,PCS-GRD-01,系統連系保護リレー,1,個,電子部品,,toa-denshi,,購買,65000,FRT対応。JET認証取得品（備考：東亜電子さんに発注）
2,PCS-DSP-01,DSP制御基板 (TMS320F28379D),1,個,電子部品,実装,東亜電子工業,,購買,42000,MPPT + 系統連系制御
2,PCS-CT-01,CT（電流センサー）200A,3,個,電子部品,,テクノコネクト,,購買,3800,
2,PCS-FAN-01,軸流ファン 120mm,2,個,,冷却,Fuji Seimitsu Co.,,購買,2200,60dB以下
2,PCS-HSK-02,ヒートシンク（PCS用）,2,個,アルミ,切削,Nihon Materials,,購買,12000,フィン高さ40mm
2,,PCS組立検査工程,1,式,,検査,,,内製,,工程内仕掛品
2,,耐圧試験・絶縁抵抗測定,1,式,,検査,,,内製,,工程費
1,EG-ASY-300,BEMS連携モジュール,1,式,,組立,,,内製,,
2,BEMS-GW-01,IoTゲートウェイ (ARM Cortex-A53),1,個,電子部品,実装,テクノコネクト,,購買,35000,Ethernet + Wi-Fi + RS-485
2,BEMS-LCD-01,7インチタッチパネルLCD,1,個,電子部品,,サンライズ・ディスプレイ,,購買,18000,IPS液晶 解像度1024x600
2,BEMS-ANT-01,4G/LTEアンテナモジュール,1,個,電子部品,,テクノコネクト,,購買,4500,
2,BEMS-SIM-01,通信SIMカード (IoT用),1,個,,,通信キャリア直接契約,,購買,0,月額費用は別途。BOMには含めない考え方もある
2,BEMS-SD-01,産業用SDカード 32GB,1,個,電子部品,,アキバ電子パーツ,,購買,2800,SLC NAND。-40〜+85℃対応
2,,BEMS制御ソフトウェア開発費,1,式,,ソフト,,,内製,,ソフトウェア開発費。BOM対象外
1,EG-ASY-400,筐体・ラックAssembly,1,式,,板金・組立,,,内製,,
2,ENC-FRM-01,19インチサーバーラック 42U,1,個,鉄鋼,板金,日本マテリアルズ,,購買,125000,W600×D1000×H2000。粉体塗装
2,ENC-DOR-01,前面ドアパネル（メッシュ）,1,個,鉄鋼,板金加工,日本マテリアルズ,,購買,18000,通気率65%
2,ENC-DOR-02,背面ドアパネル（メッシュ）,1,個,鉄鋼,板金,日本マテリアルズ,,購買,18000,
2,ENC-ACU-01,精密空調ユニット 3.5kW,1,個,,冷却,空調メーカーA,,購買,280000,インバーター制御。R32冷媒（サプライヤー未定、暫定でA社見積）
2,ENC-PDU-01,インテリジェントPDU 32A,2,個,電子部品,,テクノコネクト,,購買,45000,遠隔電源制御・電力モニタリング
2,ENC-SPD-01,SPD（サージ保護デバイス）,1,個,電子部品,,Green Energy Cell,,購買,8500,クラスII T2
2,ENC-GND-01,接地バー・接地端子台,1,式,銅,,日本マテリアルズ,,購買,3500,
2,,板金加工費（レーザー・曲げ）,1,式,,板金,,,内製,,内製加工費
2,,塗装費（粉体塗装）,1,式,,塗装,,,外注,,外注加工費。サプライヤー名はなし
1,EG-ASY-500,配線・ケーブルAssembly,1,式,,配線,,,内製,,
2,CBL-PWR-01,動力ケーブル CVT 38sq,15,m,,配線,,,,内製,1200,
2,CBL-CTL-01,制御ケーブル VCTF 1.25sq×4C,30,m,,配線,テクノコネクト,,購買,380,
2,CBL-COM-01,通信ケーブル Cat6A STP,10,m,,配線,,,,内製,内製,450,シールド付
2,CBL-CON-01,圧着端子・コネクタセット,1,式,,圧着,FUJI SEIMITSU,,購買,8500,丸端子・Y端子・フェルール各種
2,CBL-TRC-01,ケーブルトレー・ダクト,1,式,鉄鋼,,日本マテリアルズ,,購買,12000,
2,,配線工事費,1,式,,配線,,,内製,,工賃。BOM部品ではない
